1,1,737,-576,1499,231,-1137,-355,766,1171,29
1,1,387,-670,1999,103,-838,-215,1143,1111,30
1,1,587,-653,2236,44,-267,-100,1402,947,31
1,1,974,-816,1910,2,317,126,1294,825,32
1,1,1257,-938,1921,1,494,339,1479,780,33
1,1,347,-856,1990,-115,998,552,1193,853,34
1,1,-32,-454,1673,-309,1620,726,733,1043,35
1,1,2667,319,1949,-434,1743,507,2318,1207,36
1,1,4386,1047,2938,-132,1743,390,4381,1324,37
1,1,-654,395,-1238,259,850,14,454,1236,38
1,1,1485,504,-1959,61,609,-89,1509,1113,39
1,1,952,54,-1949,148,-124,-4,1169,929,40
1,1,762,-19,-1010,200,-759,-22,265,900,41
1,1,628,-227,-309,162,-1114,-66,264,945,42
1,1,686,-443,318,9,-1209,-169,123,1000,43
1,1,462,-507,426,-90,-1129,-322,192,1035,44
1,1,191,-598,561,-120,-960,-428,158,1040,45
1,1,229,-679,812,-90,-784,-585,82,1028,46
1,1,15,-707,855,38,-588,-502,109,977,47
1,1,-281,-724,909,180,-377,-225,195,876,48
1,1,-380,-862,821,169,-185,113,249,756,49
1,1,-219,-802,730,7,74,296,106,666,50
1,1,-113,-594,876,-46,220,339,64,614,51
1,1,10,-502,838,36,432,398,23,608,52
1,1,-9,-627,531,155,614,479,178,645,53
1,1,-364,-329,197,58,703,705,471,716,54
1,1,-654,146,-113,-174,941,963,320,844,55
1,1,-319,586,-17,-230,1350,1092,332,1025,56
1,1,1046,1113,-1230,-126,1370,880,961,1147,57
1,1,1335,1021,-1429,-104,694,720,1206,1118,58
1,1,203,1064,-1447,-241,562,636,807,1071,59
1,1,601,1123,-966,-240,739,692,598,1065,60
1,1,1094,1133,-692,-119,778,576,720,1047,61
1,1,1722,1674,-778,-74,678,495,1524,1006,62
1,1,1573,1204,-727,-71,386,375,1110,913,63
1,1,1380,792,-712,-226,145,205,743,797,64
1,1,1285,554,-533,-361,4,187,777,719,65
1,1,596,2409,528,17,-187,-318,1537,185,1
1,1,345,3043,983,-17,45,-660,2216,280,2
1,1,910,3433,1378,-158,519,-758,2809,410,3
1,1,1171,4153,1745,-41,850,-904,3654,576,4
1,1,2570,3939,2373,212,737,-958,4267,706,5
1,1,2961,2906,2271,207,837,-1003,3729,829,6
1,1,2818,1782,1702,100,696,-1027,2743,912,7
1,1,2474,911,1229,-39,615,-968,1908,959,8
1,1,1938,241,719,-182,572,-828,1081,972,9
1,1,1626,149,267,-155,604,-541,654,942,10
1,1,1575,-141,-192,46,479,-309,592,868,11
1,1,1484,-378,-525,45,269,-165,618,758,12
1,1,1091,-116,-429,-62,76,-84,178,632,13
1,1,574,-31,-454,-47,68,22,267,522,14
1,1,362,-210,-848,0,97,100,54,446,15
1,1,403,-271,-799,-33,23,146,64,387,16
1,1,473,-144,-631,-115,-124,177,198,358,17
1,1,578,132,-255,-117,-329,226,354,369,18
1,1,597,215,-40,-82,-466,302,364,408,19
1,1,805,353,111,-61,-530,387,114,458,20
1,1,1153,764,329,-12,-611,480,421,521,21
1,1,1050,1192,615,211,-720,599,703,609,22
1,1,1282,1431,477,246,-726,858,979,717,23
