Count,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,Activity
25,-77,298,-646,13,-183,-12,284,148,5
26,150,284,-596,30,-264,1,322,171,5
27,367,282,-442,51,-382,-10,360,214,5
28,540,295,-158,130,-533,-28,364,281,5
29,778,319,241,214,-635,-17,125,358,5
30,1045,366,633,222,-703,30,275,434,5
31,1460,520,1108,220,-834,81,905,520,5
32,1826,719,1576,261,-899,154,1516,606,5
33,2290,964,2316,255,-914,223,2396,679,5
34,2693,1172,2795,236,-963,256,3054,748,5
35,3196,1399,3176,277,-1006,307,3717,816,5
36,3229,1273,3398,162,-1041,247,3857,869,5
37,3164,1131,3371,-140,-1011,-1,3759,899,5
38,2785,1316,3303,-281,-906,-222,3516,914,5
39,2718,1254,2797,-161,-731,-276,3096,890,5
40,2781,901,2261,37,-640,-193,2695,846,5
41,2719,744,2110,206,-687,-45,2521,820,5
42,2396,822,1930,294,-718,89,2184,812,5
43,1980,832,1793,265,-708,144,1797,803,5
44,1572,812,1648,156,-696,79,1417,786,5
45,1021,599,1577,0,-656,-62,971,760,5
46,571,601,1308,-87,-556,-117,548,723,5
47,190,489,1364,-73,-527,-182,461,691,5
48,-116,211,1403,-45,-455,-180,423,651,5
49,-290,55,1354,-98,-303,-139,385,590,5
50,-891,156,1387,-112,-204,-152,655,527,5
51,-795,143,1305,-72,-9,-129,534,451,5
52,-571,33,1235,-27,132,-71,361,391,5
53,-322,20,1140,-4,265,-31,184,366,5
54,-28,-94,1082,-7,374,-5,86,368,5
55,319,-131,1203,-18,472,36,251,389,5
56,761,-73,1281,-33,576,81,491,427,5
57,1375,-79,1564,-160,676,58,1083,481,5
58,1854,136,1803,-300,830,88,1589,562,5
59,2229,630,2221,-327,880,154,2209,640,5
60,2752,594,2475,-207,855,238,2748,694,5
61,3000,482,3071,-211,917,264,3320,750,5
62,3291,670,3594,-283,884,228,3918,791,5
63,3211,918,3882,-297,850,220,4120,818,5
64,3315,1385,4274,-200,872,234,4583,839,5
65,3362,1418,4216,-185,915,129,3314,860,5
1,459,581,1913,-140,578,-207,1051,363,5
2,437,514,2210,-181,650,-216,1310,432,5
3,373,511,2499,-201,692,-215,1577,496,5
4,283,469,2772,-211,766,-188,1825,560,5
5,271,396,2872,-219,821,-154,1911,620,5
6,283,294,2803,-215,837,-113,1832,670,5
7,296,222,2585,-195,837,-67,1611,709,5
8,416,149,2156,-157,834,0,1200,736,5
9,551,156,1556,-119,777,40,658,746,5
10,547,167,1003,-104,681,34,154,735,5
11,574,194,506,-78,593,61,210,708,5
12,587,191,24,-35,479,91,382,664,5
13,483,176,-318,-9,342,74,395,601,5
14,354,197,-498,-18,246,55,358,531,5
15,202,254,-543,-10,157,49,367,458,5
16,84,281,-565,23,91,52,363,387,5
17,-16,263,-595,29,30,33,349,320,5
18,-112,289,-586,14,-8,15,337,261,5
19,-91,484,-579,-25,-29,-60,239,223,5
20,31,166,-633,24,-74,-12,344,194,5
21,-116,228,-617,-13,-122,-46,332,181,5
22,-53,292,-574,-35,-179,-59,353,183,5
23,55,259,-473,-10,-240,-55,457,195,5
24,260,244,-369,36,-321,-47,486,221,5
25,516,248,-133,72,-456,-46,412,270,5
26,693,382,263,180,-599,-12,166,341,5
27,862,321,633,236,-651,67,116,411,5
28,1235,455,1144,227,-667,187,743,475,5
29,1566,586,1929,213,-748,256,1552,543,5
30,2073,707,2494,180,-875,324,2319,624,5
31,2649,854,3230,142,-991,365,3263,712,5
32,3102,980,4289,95,-1152,408,4383,815,5
33,2858,1056,4760,13,-1081,410,4651,883,5
34,2464,846,4211,-206,-872,213,3951,890,5
35,2412,812,3763,-325,-718,-41,3542,870,5
36,2722,431,3241,-274,-658,-121,3254,840,5
37,2898,227,3006,-238,-749,-157,3181,832,5
38,2496,373,2975,-108,-866,-101,2901,841,5
39,2061,416,2958,-15,-920,-38,2629,857,5
40,1521,560,2576,-36,-876,-62,2043,861,5
41,1059,602,2128,-92,-823,-196,1451,859,5
42,764,464,1680,-120,-780,-330,902,858,5
43,554,210,1601,-66,-770,-348,707,856,5
44,-222,0,1742,8,-649,-243,756,823,5
45,-669,35,1492,108,-434,-92,635,750,5
46,-662,-70,1052,112,-260,-82,244,658,5
47,-458,-167,841,0,-175,-112,27,568,5
48,-641,-102,854,-84,-95,-82,72,484,5
49,-569,56,797,-101,34,-45,19,410,5
50,-380,73,877,-87,123,-30,41,359,5
51,-163,22,858,-96,266,28,126,344,5
52,272,214,868,-162,374,56,65,357,5
53,582,303,1061,-190,437,52,247,381,5
54,755,136,1297,-193,595,123,506,432,5
55,1349,203,1713,-199,804,216,1189,517,5
56,2156,361,2478,-159,887,279,2304,602,5
57,2743,73,2629,-182,1027,330,2800,700,5
60,3312,103,4305,-269,1135,449,4432,920,5
61,3706,449,4493,-92,1138,577,4841,992,5
62,3434,454,4532,161,1005,556,4704,1025,5
63,3188,203,3915,87,968,241,4052,1020,5
64,2493,324,3615,-79,884,-7,3403,993,5
65,1987,434,3193,-64,827,-56,3374,961,5
1,-113,574,2254,-153,371,-66,1328,171,5
2,-9,263,2771,-173,599,-56,1783,262,5
3,470,341,3129,-104,735,13,2182,358,5
4,697,316,3463,-58,830,21,2546,452,5
5,1000,276,3791,-129,962,-24,2930,556,5
6,1138,464,4094,-215,1053,-68,3274,660,5
7,1216,442,4063,-209,1127,-40,3264,757,5
8,1368,375,3596,-171,1151,-8,2865,838,5
9,1470,297,2643,-153,1134,16,2038,899,5
10,1598,292,1622,-138,976,27,1295,916,5
11,1413,271,730,-69,754,66,613,885,5
12,1276,133,-150,-23,605,74,291,830,5
13,995,83,-455,-69,434,42,97,752,5
14,746,235,-500,-22,238,30,71,649,5
15,579,226,-509,51,127,47,196,548,5
16,521,180,-575,33,50,33,203,452,5
17,505,177,-495,-230,-99,-4,271,412,5
18,241,233,-699,-126,-48,42,224,357,5
19,336,293,-707,-70,-61,6,164,304,5
20,425,184,-690,-59,-165,-12,168,278,5
21,484,112,-565,-87,-283,-40,247,282,5
22,594,156,-366,-82,-364,-89,285,302,5
23,743,186,-105,-34,-495,-128,226,344,5
24,976,302,306,87,-626,-54,66,402,5
25,1166,355,834,138,-726,43,476,469,5
26,1382,350,1849,54,-793,81,1334,535,5
27,1437,510,2343,-59,-790,91,1795,587,5
28,2109,689,2994,-17,-869,124,2726,645,5
29,2716,845,4067,75,-1119,182,3962,743,5
30,3018,1128,4749,135,-1158,298,4738,835,5
31,2751,995,4783,67,-1083,317,4606,894,5
32,2585,705,4227,-287,-905,-20,4004,905,5
33,2657,977,4025,-316,-801,-243,3920,903,5
34,2790,513,3518,-173,-748,-254,3519,884,5
35,2565,566,3575,-27,-852,-199,3436,882,5
36,2217,445,3418,131,-856,-78,3098,879,5
37,1718,400,3183,109,-821,-57,2639,869,5
38,1149,248,2831,45,-736,-124,2065,845,5
39,623,141,2379,-22,-636,-201,1463,809,5
40,62,54,1882,-50,-552,-256,883,769,5
41,-467,-224,1659,-82,-472,-322,737,731,5
42,-1113,-288,1582,-65,-357,-325,955,682,5
45,-1053,-466,1181,-46,81,-115,649,437,5
46,-745,-401,1243,-88,251,-26,503,403,5
47,-265,-308,1345,-106,368,45,405,399,5
48,237,-218,1576,-113,464,114,608,417,5
49,659,-119,1879,-99,566,194,994,455,5
50,1150,-138,2395,-55,696,265,1660,513,5
51,1728,-477,2870,-136,786,248,2383,577,5
52,2081,-204,3305,-244,844,200,2910,642,5
53,2571,77,4048,-252,874,260,3796,703,5
54,2945,358,4586,-224,923,285,4461,760,5
55,3238,640,4981,-286,954,185,4975,810,5
56,3384,944,5332,-317,953,133,5385,851,5
57,3251,828,5196,-232,999,226,5184,891,5
58,3242,821,4775,-149,990,244,4829,918,5
59,2935,1256,3848,-90,957,173,3999,930,5
60,2544,1293,2818,-58,869,51,3010,918,5
61,2071,813,2038,-168,821,-81,2017,903,5
62,1808,902,1348,-178,699,-81,1428,867,5
63,1788,503,327,-116,608,-38,885,817,5
64,1687,241,-459,-247,450,-60,764,757,5
65,1263,536,-518,-182,156,-10,1894,653,5
1,295,628,2116,-171,503,-160,1226,304,5
2,365,701,2380,-211,600,-174,1507,375,5
3,417,662,2501,-209,686,-161,1620,447,5
4,480,575,2572,-197,747,-129,1678,514,5
5,496,552,2535,-177,789,-94,1641,574,5
6,472,504,2428,-157,803,-85,1524,623,5
7,481,351,2203,-173,813,-87,1282,666,5
8,389,248,1908,-213,807,-85,962,700,5
9,454,269,1497,-188,800,-19,587,724,5
10,526,215,908,-127,757,35,71,733,5
11,579,222,387,-76,676,78,269,723,5
12,666,244,-230,-1,547,118,254,690,5
13,572,163,-666,2,403,93,107,635,5
14,372,200,-741,-4,258,36,147,560,5
15,164,209,-680,-8,138,9,269,475,5
16,8,226,-643,15,74,20,318,396,5
17,-94,204,-665,20,31,14,298,324,5
18,-33,447,-388,-107,137,-7,407,294,5
19,-290,160,-674,-4,-31,-6,249,241,5
20,-173,280,-670,18,-31,-3,253,200,5
21,-108,293,-709,50,-52,12,225,174,5
22,13,276,-756,65,-89,36,195,162,5
23,184,256,-714,47,-171,27,219,166,5
24,248,265,-576,6,-286,-10,319,190,5
25,403,375,-396,57,-433,-18,321,239,5
26,543,397,-123,132,-547,-9,316,303,5
27,706,374,244,205,-615,28,164,372,5
28,952,341,612,201,-680,95,182,441,5
29,1289,461,1082,148,-742,132,744,506,5
30,1662,516,2082,99,-793,177,1713,568,5
31,1935,652,3064,66,-915,221,2682,643,5
32,2265,733,3520,67,-980,249,3249,717,5
33,2650,896,4189,91,-1069,255,4037,794,5
34,2793,775,4508,33,-1057,219,4359,851,5
35,2846,411,4329,-233,-934,-52,4197,873,5
36,2906,384,4246,-340,-838,-325,4159,891,5
37,3204,69,4097,-191,-816,-373,4201,896,5
38,3100,-175,4107,-32,-880,-300,4148,903,5
39,2645,-82,3834,99,-895,-135,3658,904,5
40,2143,104,3505,132,-889,-38,3109,903,5
41,1448,229,3099,98,-849,-50,2428,893,5
42,718,190,2679,13,-740,-151,1780,866,5
43,181,130,2107,-53,-614,-251,1118,825,5
44,-318,27,1736,-37,-519,-286,765,779,5
45,-763,-146,1484,5,-458,-272,675,729,5
46,-1172,-241,1438,13,-354,-232,870,668,5
47,-1284,-313,1274,1,-210,-175,835,589,5
48,-1076,-272,1185,-15,-78,-120,623,500,5
49,-1092,-134,1136,-21,45,-45,581,413,5
50,-923,-106,1147,-12,175,4,476,365,5
51,-509,-171,1168,-18,304,41,285,354,5
52,-129,-157,1301,-27,446,108,316,375,5
53,365,-111,1451,0,566,175,500,418,5
54,940,-196,1828,-8,660,212,1064,473,5
55,1493,-216,2259,-26,743,233,1716,534,5
56,2076,-242,3167,-59,862,252,2794,607,5
57,2829,-384,3674,-117,920,237,3652,677,5
58,3251,89,3607,-221,974,200,3856,745,5
59,3401,515,4089,-167,885,211,4343,781,5
60,3430,575,4724,-72,892,190,4866,807,5
61,3707,497,4769,-187,927,59,5060,835,5
62,3572,749,4602,-286,921,12,4873,861,5
63,3427,594,3820,-240,909,95,4166,877,5
64,2980,660,3078,-138,788,184,3334,866,5
65,2467,884,2327,19,687,222,3492,837,5
1,-271,441,2293,-214,401,-128,1350,220,5
2,45,440,2484,-113,536,-36,1523,285,5
3,356,365,2681,-74,623,-15,1729,353,5
4,516,366,2905,-123,711,-38,1973,427,5
5,693,488,3127,-179,830,-59,2239,512,5
6,824,486,3217,-204,890,-66,2356,592,5
7,795,512,3146,-197,926,-51,2285,663,5
8,803,475,2845,-171,969,-23,1994,727,5
9,843,391,2247,-194,967,-32,1431,779,5
10,892,413,1481,-216,945,-11,777,817,5
11,961,411,810,-138,840,53,322,824,5
12,1055,271,-19,-45,668,110,89,795,5
13,905,148,-517,-32,448,74,52,727,5
14,574,166,-622,-23,274,25,137,636,5
15,416,212,-521,3,144,17,300,538,5
16,112,114,-485,-122,-111,3,489,463,5
17,-96,201,-491,-108,32,57,460,396,5
18,-69,223,-495,-40,44,66,452,334,5
19,-51,322,-625,18,5,69,295,281,5
20,-42,317,-714,59,-51,56,217,244,5
21,-48,320,-780,48,-100,28,155,218,5
22,10,310,-708,23,-163,-16,227,207,5
23,40,274,-582,2,-251,-55,355,217,5
24,117,273,-380,10,-336,-64,517,242,5
25,281,281,-225,70,-398,-57,543,275,5
26,435,241,-53,183,-479,-39,499,323,5
27,756,181,356,151,-573,-20,144,376,5
28,964,204,686,136,-677,21,200,439,5
29,1452,369,1191,131,-730,82,913,500,5
30,1896,466,1871,157,-811,163,1704,568,5
31,2571,586,2877,130,-946,254,2902,652,5
32,3070,780,4098,52,-1112,314,4179,753,5
33,3385,733,4984,-15,-1152,308,5069,841,5
34,3038,230,5097,-254,-1021,105,4938,884,5
35,2646,429,4821,-335,-874,-129,4516,896,5
36,3006,-127,4374,-240,-766,-209,4308,882,5
37,3116,-267,4370,-166,-833,-240,4373,882,5
38,2861,-263,4242,-85,-876,-220,4123,887,5
39,2370,-55,4082,-46,-897,-217,3720,894,5
40,1740,39,3794,0,-881,-213,3174,897,5
41,945,108,3339,25,-802,-192,2471,882,5
42,254,77,2709,53,-733,-148,1721,855,5
43,-14,70,1874,25,-685,-165,875,825,5
44,-796,61,1818,8,-559,-259,985,783,5
45,-1512,15,1730,43,-430,-303,1297,732,5
46,-1675,-207,1053,33,-286,-242,989,661,5
47,-1690,-270,1263,1,-37,-191,1127,567,5
48,-1308,-267,926,54,67,-65,624,475,5
49,-944,-180,884,53,174,-10,305,416,5
50,-581,-125,927,18,289,4,101,391,5
51,-173,-148,1088,-51,417,-7,111,397,5
52,269,-210,1314,-123,508,-5,357,422,5
53,554,-156,1576,-146,580,52,677,457,5
54,869,-102,2181,-120,718,154,1349,514,5
55,1403,-252,2892,-127,863,201,2224,590,5
56,2153,-338,3801,-221,1001,183,3381,680,5
57,2625,2,4796,-275,1081,175,4467,770,5
58,3272,44,4539,-303,1106,238,4595,850,5
59,3137,537,4556,-265,1017,245,4557,896,5
60,2847,740,5024,-147,894,230,4821,903,5
61,2574,524,5264,-189,887,98,4883,905,5
62,2296,516,4781,-266,907,12,4328,913,5
63,2175,789,4059,-207,853,68,3672,906,5
1,-278,677,2253,-106,417,-104,1368,198,5
2,-32,581,2574,-146,574,-124,1638,279,5
3,27,587,2973,-132,691,-123,2030,366,5
4,290,450,3201,-122,848,-102,2245,465,5
5,486,379,3284,-175,920,-134,2341,561,5
6,538,385,3222,-203,980,-127,2289,650,5
