AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,isDone,Activity
4666,829,4558,99,1022,28,5575,861,False,5
4408,236,3856,-71,1028,-114,4861,896,False,5
3951,741,3610,-182,921,-87,4402,905,False,5
3569,906,3163,90,843,72,3854,894,False,5
3363,804,2326,171,706,3,3167,860,False,5
2746,773,1654,-32,587,-199,3369,812,True,5
605,1227,1493,59,42,-123,1024,101,False,5
192,1036,1956,-23,334,-174,1221,156,False,5
816,909,2258,-143,634,-171,1567,259,False,5
1059,1018,2274,-143,681,-194,1707,351,False,5
1136,986,2590,-112,749,-240,1995,440,False,5
1245,786,2916,-168,874,-258,2266,537,False,5
1382,873,3119,-203,938,-265,2521,628,False,5
1381,741,2935,-181,1005,-234,2327,712,False,5
1358,585,2481,-159,1009,-190,1888,777,False,5
1234,492,1793,-120,982,-128,1231,821,False,5
1109,346,1022,-86,898,-54,547,837,False,5
944,259,512,-21,773,-3,104,824,False,5
772,155,73,-6,639,15,209,787,False,5
629,131,-275,-34,500,20,301,730,False,5
465,163,-471,-40,339,40,318,652,False,5
305,205,-586,6,227,51,308,568,False,5
245,175,-631,49,148,56,300,487,False,5
199,149,-627,52,64,58,325,410,False,5
243,150,-635,47,8,65,303,344,False,5
337,120,-674,27,-51,68,236,293,False,5
393,181,-631,3,-147,71,234,267,False,5
453,256,-526,24,-269,59,260,268,False,5
578,266,-336,45,-423,24,280,300,False,5
663,267,-78,51,-562,-2,281,353,False,5
806,193,352,62,-655,20,99,414,False,5
942,329,809,51,-740,47,284,479,False,5
1038,342,1214,2,-844,5,633,552,False,5
1446,537,1559,45,-880,61,1193,618,False,5
1987,703,2166,152,-988,145,2022,696,False,5
2564,916,2962,147,-1101,216,3023,783,False,5
3013,1075,3220,167,-1052,304,3538,848,False,5
3572,920,3551,84,-1102,282,4120,906,False,5
2966,776,3562,-172,-1013,100,3699,931,False,5
2432,705,3283,-394,-813,-167,3146,929,False,5
2229,802,2859,-311,-641,-283,2712,896,False,5
2345,617,2329,-105,-576,-275,2362,846,False,5
2072,293,1916,-59,-611,-281,1837,812,False,5
1657,96,1765,-118,-629,-295,1422,790,False,5
1161,158,1797,-64,-611,-232,1145,763,False,5
716,174,1734,67,-544,-118,884,722,False,5
