Count,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,Activity
11,2726,914,61,456,-786,-211,1875,821,7
12,2260,854,186,487,-691,-150,1423,828,7
13,1772,795,232,559,-636,-92,955,833,7
14,1436,704,216,565,-539,-94,613,823,7
15,1183,646,263,590,-402,-95,373,803,7
16,1003,522,94,640,-251,-49,134,780,7
17,1105,297,40,637,-209,57,144,758,7
18,1060,264,201,509,-293,186,110,730,7
19,1116,358,515,355,-330,292,280,697,7
20,1322,469,872,251,-253,394,651,663,7
21,1260,693,993,324,-171,453,747,647,7
22,614,1483,590,972,299,364,710,733,7
23,1002,1134,197,1323,726,301,526,894,7
24,910,693,-332,1247,743,225,191,1009,7
25,1128,550,-637,682,790,510,407,1039,7
26,1882,1468,-683,184,735,756,1482,1045,7
27,1098,2329,-1240,495,916,661,1857,1083,7
28,2606,1612,-620,748,940,407,2126,1120,7
29,1807,1004,-1216,713,788,296,1398,1116,7
30,2147,780,-1340,563,1086,152,1648,1139,7
31,2649,1049,-1455,354,1125,176,2199,1150,7
32,3074,1548,-1809,404,1109,45,2888,1156,7
33,2798,1052,-1272,674,548,-190,2248,1102,7
34,2191,278,-893,784,23,-313,1382,1051,7
35,1781,-260,-955,764,4,-401,1037,1013,7
36,1835,-192,-820,545,153,-422,1019,951,7
37,1823,197,-478,408,144,-346,894,872,7
38,1951,390,-32,369,-33,-307,989,794,7
39,1467,212,31,399,-102,-321,482,739,7
40,1076,162,-54,377,-34,-308,89,689,7
41,1098,133,31,348,44,-267,106,639,7
42,1160,115,-33,337,67,-185,166,589,7
43,1091,69,-14,297,15,-116,93,535,7
44,1001,76,-35,225,-25,-100,4,477,7
45,949,92,-72,142,-19,-79,43,414,7
46,894,143,-106,64,0,-58,88,349,7
47,839,113,-122,0,-5,-48,144,288,7
48,801,151,-119,-28,1,-32,176,239,7
49,795,196,-127,-11,26,-9,171,197,7
50,756,197,-162,10,58,3,202,169,7
51,781,183,-196,17,85,14,174,152,7
52,810,189,-252,16,104,29,130,144,7
53,816,203,-293,18,124,49,109,142,7
54,850,223,-323,12,133,62,63,143,7
55,882,267,-349,0,132,69,14,144,7
56,907,338,-385,15,148,78,41,148,7
59,963,338,-470,-17,119,60,123,149,7
60,967,347,-462,-29,100,52,126,142,7
61,987,349,-424,-46,64,43,129,132,7
62,967,365,-366,-64,34,33,96,121,7
63,972,405,-318,-49,37,28,99,110,7
64,976,387,-301,-23,38,26,92,98,7
65,945,345,-345,-20,41,21,98,88,7
1,2206,600,-2018,289,-147,-98,2049,200,7
2,2825,616,-2236,110,-365,-110,2655,239,7
3,3380,1148,-2020,68,-552,-126,3101,305,7
4,3848,1295,-1520,184,-691,-195,3335,392,7
5,4109,1229,-1185,259,-783,-215,3449,484,7
6,4091,1171,-902,272,-839,-223,3349,569,7
7,3949,1261,-588,334,-846,-223,3186,642,7
