Count,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,Activity
34,3180,-194,174,464,575,-721,2190,1091,7
35,2343,-430,-62,291,450,-504,1382,1020,7
36,1683,-383,-201,80,242,-331,737,899,7
37,1179,-57,-40,17,96,-253,181,774,7
38,942,97,69,103,26,-185,50,661,7
39,825,25,137,189,-33,-102,163,572,7
40,683,-25,162,158,-79,-41,297,494,7
41,594,28,214,57,-102,0,368,418,7
42,490,202,247,-18,-98,38,415,356,7
43,443,358,157,-8,-37,100,409,306,7
44,496,386,30,36,8,154,370,276,7
45,611,322,-82,42,3,185,304,259,7
46,718,374,-151,-45,-50,215,176,252,7
47,779,635,-23,-147,-108,247,5,263,7
48,797,865,80,-153,-119,261,178,275,7
49,834,936,122,-88,-101,281,259,282,7
50,865,840,95,-24,-81,308,209,289,7
51,928,768,74,-31,-59,337,206,300,7
52,986,838,90,-72,-39,341,297,310,7
53,1029,907,92,-63,0,346,374,318,7
54,1072,891,88,-8,23,364,396,327,7
55,1091,837,99,51,24,362,378,335,7
56,1055,785,42,73,37,321,315,334,7
57,1038,723,-4,49,56,264,264,322,7
58,1019,714,-23,8,55,198,244,298,7
59,1003,715,-20,-19,40,134,231,267,7
62,939,614,-6,-30,-11,-44,121,161,7
63,943,581,5,-22,-15,-79,107,145,7
64,947,548,14,-7,-14,-106,94,138,7
65,967,518,11,7,-8,-122,164,134,7
1,2054,1199,-733,251,110,-21,1488,217,7
2,2878,1962,-888,222,-32,-76,2594,221,7
3,3447,2720,-630,334,-237,-119,3435,262,7
4,4919,2639,-191,358,-459,-430,4585,354,7
5,5537,2369,563,453,-690,-628,5048,491,7
6,5960,2111,1431,621,-860,-655,5482,642,7
7,5715,1739,1784,805,-969,-557,5234,789,7
8,5498,1034,2007,815,-1037,-613,4943,922,7
9,4427,608,1895,765,-949,-666,3853,1015,7
10,3206,358,1582,790,-751,-537,2592,1055,7
11,2325,247,1269,790,-607,-318,1660,1053,7
12,1738,-59,965,684,-524,-134,988,1017,7
13,1254,-73,1106,600,-528,-59,673,973,7
14,877,-69,912,794,-399,-28,267,956,7
15,1092,-439,1161,1142,-215,222,653,1002,7
16,1225,-976,789,1058,-100,347,753,1025,7
17,985,-625,571,740,-8,256,298,976,7
18,1018,-165,737,631,134,355,267,928,7
19,1097,133,481,669,352,457,205,919,7
20,1233,393,279,609,434,377,323,902,7
21,1262,664,60,599,546,254,427,892,7
22,1619,695,-103,632,705,184,764,906,7
23,1653,600,-536,540,687,90,838,900,7
24,1734,536,-1014,375,646,31,1079,870,7
25,1398,765,-1176,210,669,140,980,839,7
26,1445,992,-1142,147,802,64,1091,834,7
27,1944,859,-1188,148,881,-5,1434,846,7
28,1854,1162,-942,-9,1005,116,1382,879,7
29,2708,995,-1203,-127,1548,-2,2125,1013,7
30,4661,1309,-649,-505,1272,-41,3884,1084,7
31,3484,3361,-1047,3,1076,200,3952,1086,7
32,3679,1717,-560,668,1159,141,3098,1138,7
33,3804,1159,-648,566,796,-141,3029,1107,7
34,3820,1273,-317,537,431,-323,3038,1038,7
35,3591,872,57,574,150,-524,2695,988,7
36,3271,380,292,561,18,-674,2305,966,7
37,2664,50,281,551,91,-750,1679,960,7
38,2168,-559,-63,459,252,-721,1239,946,7
39,1277,-1392,-529,159,199,-526,961,873,7
40,603,-1615,-456,-290,101,-282,783,782,7
41,701,-572,-165,-401,-59,-5,80,706,7
42,609,471,20,-73,-94,211,229,613,7
43,709,618,247,320,-87,316,27,582,7
44,760,359,157,360,-94,276,144,558,7
45,785,220,22,167,-96,184,184,500,7
46,776,285,12,-90,-13,158,173,436,7
47,856,572,136,-183,41,201,38,404,7
48,850,802,119,-84,67,248,174,377,7
49,866,732,32,51,74,256,134,355,7
50,894,569,-81,83,59,221,62,333,7
51,935,435,-122,24,53,208,38,309,7
52,975,424,-119,-36,58,224,69,294,7
53,1019,445,-85,-78,54,243,115,287,7
54,1058,493,-61,-101,48,248,168,284,7
55,1078,552,-36,-101,47,248,211,281,7
56,1097,592,-43,-84,61,245,247,278,7
57,1104,588,-61,-81,61,229,252,272,7
