AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,isDone,Activity
1695,1370,75,-222,2,618,1180,618,False,1
1451,1529,98,-58,53,481,1110,591,False,1
1230,1253,-80,5,104,235,757,524,False,1
1174,853,-221,-66,116,77,467,450,False,1
1085,616,-273,-182,94,22,277,401,False,1
1019,532,-192,-255,24,-6,165,372,False,1
944,536,-114,-255,-27,-20,91,349,False,1
877,539,-56,-197,-56,-23,30,320,False,1
861,585,-42,-117,-54,-25,41,282,False,1
890,531,-100,-56,-39,-50,41,243,False,1
899,463,-120,-33,-34,-81,18,213,False,1
949,384,-128,-18,-21,-109,178,192,True,1
1142,1661,-751,111,-54,-55,1151,60,False,1
1296,1787,-684,161,-206,-185,1311,112,False,1
1336,1740,-444,216,-269,-314,1238,183,False,1
1431,1561,-383,245,-246,-387,1152,250,False,1
1563,1499,-309,281,-249,-438,1187,315,False,1
1682,1421,-264,347,-299,-477,1217,384,False,1
1648,1337,-92,357,-356,-516,1124,451,False,1
1504,1309,118,355,-314,-547,997,506,False,1
1505,1480,358,397,-211,-579,1140,551,False,1
1551,1478,526,483,-106,-629,1206,601,False,1
1597,1337,552,485,-23,-683,1154,648,False,1
1640,1184,686,457,41,-674,1135,681,False,1
1972,735,843,351,-15,-748,1267,710,False,1
1645,311,426,178,53,-775,727,727,False,1
1473,-170,137,123,101,-780,489,741,False,1
1302,-1410,-347,67,170,-679,950,733,False,1
1200,-2019,-718,53,104,-504,1455,690,False,1
1056,-2295,-1271,73,124,-301,1828,618,False,1
1027,-2519,-1606,38,59,-62,2159,513,False,1
961,-2120,-1521,38,-28,146,1780,441,False,1
800,-1371,-1202,113,-91,316,991,422,False,1
674,-1118,-1034,146,-67,415,665,427,False,1
563,-735,-997,76,-24,474,360,437,False,1
551,-115,-905,29,-47,472,65,445,False,1
413,791,-677,62,-99,438,120,446,False,1
51,1330,-483,174,-45,318,415,430,False,1
-106,861,-753,79,61,162,148,382,False,1
-132,431,-842,-148,53,40,44,338,False,1
-135,263,-809,-184,45,6,138,308,False,1
-64,43,-870,-64,27,20,126,261,False,1
19,-184,-883,-59,-12,22,97,221,False,1
50,-309,-790,-129,-38,10,150,204,False,1
66,-368,-658,-191,-30,17,243,202,False,1
80,-402,-542,-248,-14,44,320,212,False,1
67,-305,-389,-320,-10,83,501,235,False,1
15,-169,-255,-361,12,112,693,264,False,1
40,-157,-233,-376,79,147,716,293,False,1
143,-109,-257,-421,150,220,686,334,False,1
346,124,-235,-460,224,327,563,388,False,1
596,373,-308,-499,246,391,232,446,False,1
801,484,-309,-598,168,373,14,502,False,1
932,697,-144,-716,88,358,172,562,False,1
1108,940,38,-649,4,402,453,602,False,1
1246,990,78,-488,-70,451,593,615,False,1
1422,930,56,-437,-118,478,700,624,False,1
1634,996,140,-431,-160,496,918,634,False,1
1804,1111,205,-370,-173,498,1128,636,False,1
1737,1244,284,-244,-213,481,1155,625,False,1
1518,1304,301,-98,-185,430,1023,595,False,1
1237,1274,200,0,-101,326,786,544,False,1
1095,1082,79,0,-1,190,541,473,False,1
1072,867,-26,-45,51,83,378,400,False,1
1024,690,-84,-94,65,29,237,343,False,1
947,600,-79,-126,31,3,123,300,False,1
919,570,-46,-123,-12,-7,82,265,False,1
863,562,-19,-87,-43,-10,30,231,False,1
843,507,-16,-51,-47,-15,16,199,False,1
861,469,-3,-47,-40,-20,19,172,False,1
905,506,19,-36,-24,-20,37,147,False,1
970,499,10,-9,1,-39,166,125,True,1
1189,1770,-320,-6,-61,-57,1156,82,False,1
1222,1809,-119,205,-218,-159,1186,133,False,1
1361,1671,-102,280,-215,-268,1157,195,False,1
1515,1470,-51,305,-179,-360,1111,257,False,1
1785,1297,-82,281,-162,-432,1207,313,False,1
1891,1208,66,276,-252,-481,1244,372,False,1
1748,1209,260,289,-288,-528,1141,431,False,1
1708,1254,464,338,-228,-575,1169,486,False,1
1671,1342,591,350,-140,-623,1223,534,False,1
1749,1491,766,327,-48,-698,1422,582,False,1
1846,1679,1123,428,103,-768,1736,642,False,1
1945,1355,987,513,205,-771,1567,703,False,1
1994,1046,783,465,250,-776,1383,750,False,1
1998,500,580,369,224,-823,1139,786,False,1
1893,-306,181,305,245,-797,926,806,False,1
1692,-1474,-435,155,279,-679,1285,795,False,1
1396,-1875,-865,87,117,-535,1492,746,False,1
1181,-2209,-1282,98,101,-284,1813,660,False,1
1152,-2326,-1574,87,47,-53,2035,550,False,1
1066,-2161,-1611,91,-31,154,1898,476,False,1
870,-1732,-1387,169,-93,348,1383,460,False,1
732,-1501,-1388,204,-60,508,1171,478,False,1
967,-754,-1385,100,-58,598,849,504,False,1
1092,603,-995,27,-111,544,595,514,False,1
197,2075,-420,162,-108,432,1126,506,False,1
51,1339,-581,52,24,221,460,450,False,1
-76,819,-673,-168,10,88,62,398,False,1
-108,425,-706,-156,4,64,168,352,False,1
-104,159,-744,-50,-22,66,232,298,False,1
-52,-124,-872,-70,-14,66,117,258,False,1
33,-217,-916,-116,5,69,58,233,False,1
171,-235,-876,-143,-12,84,77,220,False,1
242,-214,-732,-173,-60,95,199,217,False,1
201,-187,-546,-226,-97,105,388,227,False,1
136,-135,-348,-300,-96,108,602,248,False,1
240,-238,-73,-698,-8,265,654,422,False,1
459,-33,47,-829,-14,386,537,521,False,1
848,462,306,-945,-69,492,13,630,False,1
1077,952,547,-1041,-188,478,537,736,False,1
1162,1308,944,-1030,-382,302,988,816,False,1
1074,1367,1179,-708,-511,236,1100,834,False,1
1030,1227,1090,-419,-496,243,937,805,False,1
1097,1146,1056,-266,-490,260,905,767,False,1
1148,1081,894,-76,-479,261,812,724,False,1
1241,975,777,97,-453,287,759,688,False,1
1277,991,659,198,-436,316,745,665,False,1
1293,943,473,238,-347,334,668,639,False,1
1293,901,384,169,-284,306,622,601,False,1
1125,962,369,89,-211,271,525,552,False,1
978,984,303,74,-99,213,420,490,False,1
950,889,229,94,12,121,321,423,False,1
892,688,82,82,86,21,129,362,False,1
848,495,5,50,120,-17,18,316,False,1
872,402,10,35,113,-1,39,276,False,1
922,437,-10,57,88,12,20,242,False,1
952,476,3,86,38,7,64,212,False,1
947,463,28,107,7,-28,54,192,False,1
935,372,16,111,22,-65,150,179,True,1
1117,2031,-254,200,-83,-44,1331,91,False,1
1375,1985,-192,300,-192,-183,1422,153,False,1
1500,1829,-79,238,-200,-361,1366,217,False,1
1748,1665,41,234,-143,-491,1414,286,False,1
1978,1493,133,323,-139,-547,1481,359,False,1
2022,1374,174,399,-163,-597,1450,434,False,1
1984,1404,375,398,-89,-661,1459,502,False,1
2059,1372,794,378,-75,-700,1598,562,False,1
1986,1473,1061,443,-47,-734,1690,621,False,1
1890,1315,1206,521,140,-748,1599,681,False,1
1975,1004,1046,573,169,-749,1450,736,False,1
1812,619,767,498,199,-743,1062,772,False,1
1721,227,567,410,198,-732,826,790,False,1
1659,-415,247,343,234,-698,727,794,False,1
1402,-1392,-229,226,186,-638,988,776,False,1
1163,-1858,-624,171,113,-469,1279,723,False,1
998,-2237,-921,180,78,-257,1616,643,False,1
955,-2535,-1293,127,10,-36,2001,540,False,1
844,-2095,-1133,73,-21,164,1526,468,False,1
833,-1636,-966,134,-39,344,1074,449,False,1
760,-1225,-932,111,-16,442,716,450,False,1
745,-762,-919,13,-9,488,407,457,False,1
764,-95,-945,-70,-16,482,218,463,False,1
666,980,-874,-63,-63,411,472,455,False,1
136,1780,-784,22,-34,307,949,425,False,1
-127,1272,-796,-47,1,123,505,366,False,1
-188,739,-877,-122,15,23,162,318,False,1
-108,177,-993,-73,-11,7,14,269,False,1
-48,-204,-1079,-94,-59,24,99,238,False,1
-34,-159,-968,-128,-105,44,18,224,False,1
80,-77,-861,-116,-122,57,131,215,False,1
138,-109,-734,-114,-132,64,245,209,False,1
108,-170,-584,-143,-121,78,382,207,False,1
12,-172,-424,-186,-102,91,542,212,False,1
-9,-212,-345,-242,-41,112,594,223,False,1
34,-276,-308,-306,19,158,585,247,False,1
40,-246,-240,-391,43,243,654,290,False,1
146,-132,-143,-498,53,325,756,351,False,1
