Count,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,Activity
44,731,650,39,114,79,92,21,193,0
45,724,673,13,156,114,59,11,195,0
46,816,716,0,206,152,22,85,207,0
47,909,729,0,270,176,-17,165,230,0
48,1022,691,6,341,161,-66,233,260,0
49,1186,634,50,383,110,-121,345,291,0
50,1429,575,105,381,34,-177,543,317,0
51,1589,526,162,336,-36,-225,681,335,0
52,1603,488,183,268,-73,-266,685,344,0
53,1469,457,186,200,-70,-292,549,347,0
54,1351,430,187,150,-49,-307,430,347,0
55,1315,387,210,102,-62,-325,386,347,0
56,1286,409,227,73,-57,-338,368,347,0
57,1380,440,249,87,-36,-325,469,345,0
58,1403,439,262,117,-33,-304,493,341,0
59,1448,404,262,134,-43,-284,525,336,0
60,1397,329,256,106,-81,-269,457,329,0
61,1234,263,243,27,-112,-265,284,321,0
62,1045,216,240,-88,-118,-271,93,318,0
63,893,231,256,-192,-89,-284,42,325,0
64,790,292,257,-226,-23,-282,119,332,0
65,764,338,251,-168,54,-265,232,329,0
1,1264,320,-531,303,642,84,407,517,0
2,1347,110,-775,175,429,122,557,509,0
3,1258,295,-728,-8,56,104,483,431,0
4,1335,534,-331,-12,-243,110,475,398,0
5,1401,488,-126,42,-445,98,488,410,0
6,1401,282,-69,-31,-536,86,430,436,0
7,1384,158,33,-234,-559,73,393,471,0
8,1269,167,135,-450,-525,56,287,515,0
9,1192,226,252,-578,-480,41,239,563,0
10,1153,282,347,-595,-472,23,236,602,0
11,1081,335,409,-533,-481,10,203,625,0
12,1014,382,435,-406,-475,30,167,625,0
13,977,403,440,-256,-451,73,144,604,0
14,963,391,443,-112,-411,130,129,572,0
15,995,333,441,-25,-368,190,138,541,0
16,1015,328,440,-11,-324,242,153,513,0
17,1002,393,445,-14,-255,281,164,486,0
18,972,483,438,6,-163,299,170,457,0
19,965,581,410,61,-56,292,198,426,0
20,917,634,364,137,34,275,172,403,0
21,765,694,276,228,175,250,69,398,0
22,859,613,194,304,289,202,72,411,0
23,845,570,94,300,360,155,23,427,0
24,1014,567,-136,225,479,169,169,453,0
25,1222,640,-259,103,484,143,403,465,0
26,1197,754,-273,21,377,90,440,450,0
27,1287,871,-207,36,229,46,567,407,0
28,1410,967,-62,151,24,17,710,356,0
29,1380,869,85,277,-166,-33,633,349,0
30,1213,724,203,332,-267,-113,427,367,0
31,1126,622,327,349,-256,-216,327,390,0
32,1176,570,422,366,-193,-305,373,415,0
33,1242,472,550,372,-169,-392,438,445,0
34,1287,420,572,417,-99,-408,469,474,0
35,1293,342,484,440,-2,-348,422,491,0
36,1252,251,326,357,63,-287,317,485,0
37,1288,273,198,210,82,-250,331,455,0
38,1250,307,140,75,39,-227,294,413,0
39,1182,331,129,-42,-16,-234,234,378,0
40,1096,321,119,-135,-55,-259,148,361,0
41,981,285,120,-203,-66,-275,28,359,0
42,876,266,130,-234,-50,-267,75,358,0
43,797,269,146,-218,-27,-235,146,351,0
44,724,266,148,-154,-9,-189,214,329,0
45,699,225,141,-74,8,-134,252,294,0
46,712,164,92,-11,21,-61,263,248,0
47,736,135,54,9,27,20,249,205,0
48,801,156,25,5,21,100,183,184,0
49,911,190,16,-10,9,166,69,181,0
50,1020,258,24,-23,-14,239,52,192,0
51,1152,373,41,-17,-15,315,211,217,0
52,1379,465,41,-2,-15,371,455,248,0
53,1620,497,46,-11,-72,407,695,281,0
54,1566,459,60,-74,-148,414,632,313,0
55,1447,430,73,-205,-201,403,511,349,0
56,1385,435,150,-350,-237,374,459,392,0
57,1385,466,262,-480,-276,325,484,442,0
58,1349,553,362,-540,-297,277,502,489,0
59,1267,644,414,-503,-286,239,480,516,0
60,1125,697,409,-394,-251,206,385,515,0
61,955,701,380,-256,-184,175,244,484,0
62,812,694,321,-110,-106,157,115,431,0
63,736,656,227,12,-13,149,11,374,0
64,783,622,157,93,55,152,12,337,0
65,758,594,102,126,91,154,185,313,0
1,1675,583,159,555,775,-63,780,593,0
2,1808,151,-36,613,701,-115,814,662,0
3,1430,-159,-351,358,416,-120,481,642,0
4,1018,30,-365,106,196,-41,81,559,0
5,992,215,-284,52,3,3,54,457,0
6,935,196,-273,61,-136,-20,6,396,0
7,987,98,-217,22,-237,-39,15,365,0
8,1038,62,-133,-67,-321,-14,48,357,0
9,1073,149,-19,-138,-379,44,83,367,0
10,1042,242,31,-163,-392,122,70,381,0
11,1065,285,91,-179,-383,185,106,397,0
12,1120,316,148,-216,-370,216,173,413,0
13,1194,336,197,-257,-362,241,255,432,0
14,1271,372,251,-295,-365,268,347,453,0
15,1346,430,327,-313,-379,296,450,477,0
16,1393,518,387,-294,-388,317,535,498,0
17,1403,593,434,-232,-378,332,583,509,0
18,1358,629,461,-150,-350,333,565,508,0
19,1279,644,470,-71,-302,315,507,495,0
20,1150,649,460,3,-236,290,398,470,0
21,968,633,411,80,-135,265,227,437,0
22,854,593,320,130,-15,241,87,405,0
23,867,503,220,121,64,221,26,375,0
24,836,500,119,26,124,200,18,347,0
25,900,627,123,-32,160,187,103,327,0
26,1062,782,158,-9,179,161,328,310,0
27,1148,954,168,92,170,148,502,296,0
28,882,871,92,222,162,109,242,296,0
29,829,771,45,243,172,5,133,296,0
